Invoice_ID,City,Customer_type,Gender,Product_line,Total,Rating
750-67-8428,Yangon,Member,Female,Health and beauty,548.9715,9.1
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,80.22,9.6
631-41-3108,Yangon,Normal,Male,Home and lifestyle,340.5255,7.4
123-19-1176,Yangon,Member,Male,Health and beauty,489.048,8.4
373-73-7910,Yangon,Normal,Male,Sports and travel,634.3785,5.3
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,627.6165,4.1
355-53-5943,Yangon,Member,Female,Electronic accessories,433.692,5.8
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,772.38,8
665-32-9167,Yangon,Member,Female,Health and beauty,76.146,7.2
692-92-5582,Mandalay,Member,Female,Food and beverages,172.746,5.9
351-62-0822,Mandalay,Member,Female,Fashion accessories,60.816,4.5
529-56-3974,Mandalay,Member,Male,Electronic accessories,107.142,6.8
365-64-0515,Yangon,Normal,Female,Electronic accessories,246.4875,7.1
252-56-2699,Yangon,Normal,Male,Food and beverages,453.495,8.2
829-34-3910,Yangon,Normal,Female,Health and beauty,749.49,5.7
299-46-1805,Mandalay,Member,Female,Sports and travel,590.436,4.5
656-95-9349,Yangon,Member,Female,Health and beauty,506.6355,4.6
765-26-6951,Yangon,Normal,Male,Sports and travel,457.443,6.9
329-62-1586,Yangon,Normal,Male,Food and beverages,172.2105,8.6
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,84.63,4.4
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,451.71,4.8
371-85-5789,Mandalay,Normal,Male,Health and beauty,277.137,5.1
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,69.72,4.4
636-48-8204,Yangon,Normal,Male,Electronic accessories,181.44,9.9
549-59-1358,Yangon,Member,Male,Sports and travel,279.1845,6
227-03-5010,Yangon,Member,Female,Home and lifestyle,441.756,8.5
649-29-6775,Mandalay,Normal,Male,Fashion accessories,35.196,6.7
189-17-4241,Yangon,Normal,Female,Fashion accessories,184.107,7.7
145-94-9061,Mandalay,Normal,Female,Food and beverages,463.89,9.6
848-62-7243,Yangon,Normal,Male,Health and beauty,235.2105,7.4
871-79-8483,Mandalay,Normal,Male,Fashion accessories,494.1825,4.8
149-71-6266,Mandalay,Member,Male,Sports and travel,737.7615,4.5
640-49-2076,Mandalay,Normal,Male,Sports and travel,703.752,5.1
595-11-5460,Yangon,Normal,Male,Health and beauty,202.818,5.1
183-56-6882,Naypyitaw,Member,Female,Food and beverages,417.564,7.5
232-16-2483,Naypyitaw,Member,Female,Sports and travel,71.526,6.8
129-29-8530,Yangon,Member,Male,Sports and travel,328.755,7
272-65-1806,Yangon,Normal,Female,Electronic accessories,575.316,4.7
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,461.328,7.6
777-82-7220,Mandalay,Member,Male,Home and lifestyle,253.008,7.7
